Bio,labels
"Entrepreneur, Coach and Trainer in the Network Marketing Profession",8
"Entrepreneur, CTO, Agent of Change",8
"Entrepreneur, Fashion Designer, Author, Networking Extraordinaire. Woman of many sleeves who's main goal is helping as many people as humanly possible. XOXOXO",-1
Entrepreneur. Father. Husband. Living life to the fullest! Go read a book!,-1
Entrepreneur. Web Designer. Tech Enthusiast. Duck. Real Estate.,-1
Entrepreneurship | Innovation Center Director,8
"Entreprenuer, NICU Nurse, Mom, Wife, volleyball enthusiast",-1
EOU🏐 Bend - La Grande,-1
"Epic moments, good times and stories that will last a lifetime!",-1
Epic PCT Hiker with a professional side,6
ER Nurse,1
"ER Nurse , Oregon Coast , SDSU Alumni , Travel Enthusiast , and Baseball Fan ⚾️         *mythoughtsaremyownanddonotreflectmyemployer*",-1
"Eric's background has been in hotel and resort management, real estate sales and development, loves hiking, golfing, foreign travel and lattes with friends.",-1
Erica- 37- Inverted Mouse Gamer- School Nurse-Mom of a Type 1 Diabetic-Wife- Mother to 4 beautiful Kids,-1
Escaped from CA in 2003. Loving the NW!,11
"Escaped the newsroom, moved to the mountains. #scicomm #cartography Founder @clubexpedition #inBend",-1
"Escrow Officer, MBA, Packer fan extraordinaireClosing real estate in Bend, OR, Interests: green/sustainability, biz btwn China/US",10
EST. 1983 JUST A MAN TRYING TO MATTER LOYALTY IS EVERYTHING #Astros #Rockets #49ers #AllBlackEverything ✊🏾#BLM IG:@theboss_79 & @thebossfitteds,-1
"Estate and tax planning enthusiast; partner, Best Best & Krieger LLP; fellow, ACTEC; outdoor adventurer; philanthropist; and mom. *Advertising Materials*",-1
Este usuario es perezoso ¡no ha escrito nada en su bio! Pocas veces tuitea.,-1
"Eternal optimist, avid outdoor lover, passionate fan of pointing skis straight downhill and adrenaline junkie, proud leftie",6
Ethereum 🫶Smart contracts and dad jokes @Graviton_XYZ,-1
"Eugene Weekly: news, arts, entertainment. We have issues. Business in the front, party in the back.",-1
European Bicycle Tour Company Owner | Ski Instructor | Cycling Coach,6
evaluator playing in venture capital - harnessing data and insight to grow organizations and scale impact.,8
"Even if you're afraid of the thunder, you should enjoy the Lightning",-1
"Evening News Anchor/Reporter for KTVZ in Bend, Oregon. GO DUCKS!",-1
Event Manger for @gotracktownusa | @UOWarsawCenter grad student | Semi-Retired @OregonPitCrew member | (My tweets are my own and do not reflect my employers),-1
Eventer.,-1
"Events and Operations Manager, addicted to spreadsheets, mostly just trying to survive.",-1
Events Editor at @thebulletin,-1
"Events, Entertainment, Food & Fun in Fort Bend County! Visit http://MyFortBend.com",-1
"Every day is new, and everyday we talk about a new favorite. Bringing your favorites to a new social level. mark your favorites w/ #myfav",-1
"Every man desires to live long, but no man wishes to be old. - Jonathan Swift",12
"Everyday athlete balancing training with real life. #Marathoner, #Triathlete, Wife and best of all - a Mom! 5k PR 22:08; 26.2 PR 3:54:30; 70.3 PR 6:00:18",-1
Everyone needs love.,-1
everyone relies on synthetic highs,-1
Everything lofty and beautiful has but a single source,-1
Everything you need to know about Mr. Richard Anthony Ficarelli ;),2
Evolve your diet.  Evolve your life.  Evolve back to the foods of our ancestors.  Evolve back to something powerful!,-1
"EVP Program at Las Vegas  Council, past Lodge Adviser Lo La'Qam Geela & Ut-In Selica, ‘17 & ‘13 Jambo Trek Guide Dep.  Adviser, ‘15 NOAC OA Warrior Dep. Adviser",-1
"Ewing Design Concepts is a complete Design, Build, Remodel Company.",-1
"ex (619), (415) and +(61).  Now (541)",4
"Exec. Chef, snowboarder, farmer, and food lover",-1
"Executive Assistant living in Bend, Oregon | slow fashion enthusiast | INFJ | uo alumni | feminist | dog mom | future wife of @ssschreffler",-1
"Executive Director of Camp Fire Central Oregon. Empowering youth to lift their voice, find their spark and discover who they are.",-1
"Executive Director of EACA, with 30+ years of F2F marketing experience - organizing, event marketing, logistics. Got a trade show question? Just Ask!",8
"Executive Director of The Father's GroupIT Manager @ BenefitElect, IncFilmMaker, Designer, Recovering Podcaster",-1
"Executive Director of The Father's GroupIT Manager @ BenefitElect, IncFilmMaker, Designer, Recovering Podcaster",-1
"Executive leadership coach, writer, and facilitator awakening souls to joy by deepening self-knowledge, amplifying self-expression, and aligning to values.",-1
Executive recruiter specializing in the consulting engineering profession.brandon@nes-llc.com541-317-4150,8
Executive Sourcer | Beatboxer,-1
Executive Vice President at Kilns College,-1
Executive VP | Bend Chamber Community Affairs | Leadership Bend,-1
"exhausted, working mom",-1
Experienced B2B Marketer | Fierce Mama Bear | Transitioning from a City Girl to a Mountain Girl,-1
"Experienced executive, father of three, sports fanatic, golf, stock market watcher, Oregon State Beaver AND an Oregon Duck",-1
Explain powerful ideas with video (http://modio.tv) and save time doing it (http://theplot.io).,-1
explore x create,-1
"Explorer, Storyteller, and @KTVZ reporter|&#x1f4f7;: foto_pedro|&#x1f47b;: pedro_foto14| CA ➡️OR #InBend",3
Exploring the world of search marketing from various points of the globe.,8
F R E E | B I R DB E N D | O R E G O N,-1
F@£3. Aspiring Independent Poet. Changing the rap game.☆☆☆Business inquiries - fatecreated@yahoo.com,-1
"Facilitator for changemakers & orgs doing good in the world. Owner, @abrokenangel1 & IG: abrokenangelfood. Vegan. Humane Educator. http://post.news/barbtroyer.",-1
Factoring and Asset Based lending specialist @GibraltarBC,10
failure is never nearly as important as that fact that we tried. Incase anyone is dense I'm the dude in the picture.he/him/his #BAONPDX #RCTID,-1
"Faith, Family, and Hoops • Assistant Coach • Jacksonville State Basketball @JSUGamecocksMBB",-1
"Faith, Family, Friends, and Oregon Football #GoDucks 🦆",-1
Faithless is he that says farewell when the road darkens.,7
Family and Raiders,-1
"Family guy, aspiring ultra runner, living the dream and running dirt in the Pacific Northwest. Heb 12:1",6
"Family guy, Chase and Sam's dad, corporate and airline pilot ATP/B-737, husband to Patti, semi-Cabo resident,  serial entrepreneur",-1
"Family guy.  I ski, ride my bike, and eat burritos.",6
Family healthcare with Bend Mobile Chiropractic.,1
Family Law Attorney,-1
Family man & football fan,-1
"Family man, Entrepreneur, Real Estate Agent with eXp Realty",10
"Family Man, Sales Person and Trainer.  Musician, Singer and Artist.  Great, Positive Attitude!",-1
"Family Man, Supply Chain Professional,Fitness Enthusiast, Veteran",-1
Family Man. Business Leader. Outdoors Adventurer. Baseball Coach. Tweets are my own. #SaaS #Sales #Leadership #Hiring #SFGiants #Lions,-1
Family man. CEO. Adventurer.,-1
Family man. CEO. Adventurer.,-1
"Family medicine doctor, single cat mom lifestyle",1
"Family Owned Dealership of Chrysler, Jeep, Dodge, Ram. New, Used Cars & factory trained service. Serving Central Oregon Since 1968!Sales (541) 389-4256",-1
"Family, Camping, Hiking, Motorsports, Outdoors, Business Executive, Entrepreneur & Marketer",-1
"Family, home, and animals are my favorite things",-1
"Family, Sports and fun! ""A jack of all trades is a master of none, but oftentimes better than a master of one”",-1
Family! Friends! Ducks! Giants! 49ers!,-1
Family. Fitness. Cooking. Web Developing. Marketing.,-1
Family. Football (soccer). Retina. Patriotic Taxpayer. Stock trader. Persistently bad golfer. Political junkie - ambidextrous lefty.,6
Family. Radio Junkie. Beer Drinker. People Watcher. YouTube addict. Cannabis Advocate. #GoDucks #FaithfulInBend #49ers #SFGiants #DubNation,-1
Fan of fitness anything! Consistently working and striving to be better so I can enjoy the challenges of life that come my way!,-1
"Fanatic of science, truth, equality, opportunity, ingenuity, democracy, family and friendship.",-1
Fancy wood bicycle fenders made in the USA,5
FANGIRL AND READING ENTHUSIAST. SHAWOL EXOL ELF CARAT SONE WayZenNi NCTzen SPN Family,2
Fantasy is my bread. Space is my jam. Science is the knife I use to spread it. Come and travel the universe with me.,-1
Farmers Agent Sisters Oregon,-1
Fascinated by nature. Lover of animals. Self-appointed protectress of our kickass planet.,-1
fashion,-1
Fashion & Beauty Travel,-1
Father & Husband. Love my Family & my Country. Steelhead junkie. Dirt digger. My tractor is sexy.,-1
"Father of 2, trying to stay in touch with my inner child - play more, work less.",-1
Father of 4 Seahawks Fans....and that's good enough for me.,-1
"Father of 4, Former QB, Wine Maker, Ski, Golf, Bike etc",6
"Father of 7, minister, blogger and writer. Writes at http://txfellowship.blogspot.com  Associate Editor of The Gun Blog Black List http://gunblogblacklist.blogspot.com/",-1
Father of two AMAZING kids. DM Council/Retail Store Manager #newtmobile #bendoregonlife,-1
"Father to Jackson, Husband to Stephanie...  I enjoy golfing, snowboarding, barbecue, local beer & our 2 Boston Terriers.",-1
"Father to two amazing girls, husband to a beautiful wife, IBMer, nodejs/angular developer, enjoying life in Central Oregon!",-1
"Father, Entrepreneur, Man of God, & fellow human floating around space on this rock covered ball of 🔥",-1
"Father, friend, husband, mountain biker, Firemedic & home chef who loves to ride eat, play, hang & travel. (Also a part-time MC for local mtn bike events)",-1
"Father, friend, outdoorsman, competitive athlete, early-stage business hacker",-1
"Father, friend, son, baseball guy, golfer.",-1
"Father, husband, author, runner, adventurer, marketer, PR man, musician and self-proclaimed parallel parking king.",6
"Father, husband, ELA/SS teacher in Bend, OR",-1
"Father, Husband, Guitarist, Powered by the Holy Spirit",7
"father, husband, PCUSA pastor, speaker,contemplative, sports fanatic, advocating Spacious Christianity.",7
"Father, Husband, Servant of Jesus Christ, and Pastor (church planter) of @gracebiblebend.  We love living in Bend Oregon!",-1
"Father, husband, trader, all things Bend",-1
"Father, Husband, UI/UX Engineer, Visual Designer, Entrepreneur.",-1
"Father, outdoors enthusiast, accessibility advocate and tech leader",-1
"Father, partner, educator.",-1
"Father, Small Business Owner and Overall Technology Geek. This is my personal handle - business is @marksmithvr",-1
"Father, son, uncle, nephew, male, human, Catholic, mammal, woodworker, GBR, metal-head. That about covers it...",7
Father.  Husband.  Entrepreneur. Traveler.  I run a small group travel company - http://sandgadventures.com,-1
Father. Bull Elephant with a centered mind...Barber. One of your God's better people.,7
Father. Husband. Baseball Nerd. Classic Car Enthusiast. Braves fan.,-1
Father. Husband. Blogger. Translater of Tech to Non-Techies. Motivator of Bootstrappers. Dancing to Dubstep - at my Standing Desk.,-1
Fatherhood. Cycling. Food. Physics. Saving the world.,6
"Feasting on life in BEND, Oregon. Recipes & bringing people together!",11
"Feasting on life in BEND, Oregon. Recipes & bringing people together!",11
"Features writer @TheBulletin #inBend, originally from Down Under (but not a fan of Vegemite). Covering fun stuff: literature, arts, entertainment and parenting.",-1
Fediverse: https://bookwyrm.ajy.co/user/aaronjamesyoung,-1
"Feed for the SAP EIM Partner Community - Sr. Director, EIM Center of Excellence - SAP America",8
feel free to message me or whatever. Mated to @chime_kitty,-1
"Feet on the ground, head in the sky | Co-Founder @BanklessConsult | Fundraising @developer_dao | Advisor @DoGoodatUMD | Baltimore & Global",8
"Feminist, Diet Coke enthusiast, aspiring lawyering lawyer who knows the law.",-1
Feminista. Democrat. Divorced. Coffee Connoisseur. Work at starbucks. Cello player. Aspiring filmmaker. #girlpower #elizabethwarren2020,-1
FF-EMT,-1
FGO デレステ モバマス Hearthstone 速水奏が好き 日本語の勉強中です,0
"Fiction author. Sci-fi, horror, humor. Short story “Helter Smelter” available now in issue 012 of Dark Matter Magazine",2
"Field Marketing Manager - BendBroadband - Bend, Oregon. Family, dogs, friends, golf, happiness!",-1
Fifth Generation Oregonian | Farmers Wife | New Mom | Tourism Junkie | looking to bring a bit of joy and creativity to the world!,11
"Fight On, PTFC, #BeamTeam.",-1
"Filmmaker, Photographer, Musician, and founding member of Anti-M. Also known as Guy On The Left in that Five Year Photo story.",3
Financial Advisor at Morgan Stanley helping people plan for their future. For more information visit my website. NMLS# 1279105,-1
Financial writer who owns way too much spandex,-1
"financial, statistical, philosophical education Invest your ass",-1
Find me here http://tinyurl.com/zjmw4rh,-1
Find me on FB at http://facebook.com/erinrookwrites. Also tweeting at @erinrook.,9
Find me on LinkedIn and other unnamable places. Sonder Studio | ex @apple @morganstanley @qz #macromedia,-1
"Find your happy TODAY!! I focus on Exercise, Sports, Music, and Travel. FOLLOW, like, and share my profile with chances to WIN GIVEAWAYS!!! Explore with me!",-1
Finding joy one odd moment at a time,-1
"Finding questions worth asking. The Internet is bad place for nuance, but I try.",-1
"Finding questions worth asking. The Internet is bad place for nuance, but I try.",-1
fine art realist painter,3
Firesluth,-1
First Sunday of every month during the riding season.,-1
First year math teacher who explores the world everyday through mathematics. Passionate about students and math ED.,-1
Fiscally conservative Mortgage Banker/Broker,10
Fisherman.,-1
Fisherman. #Denver. Businessman. i'm deep undercover. Track fan--distance,-1
"Fishing guide on Toledo Bend, Bassmaster Opens Angler.",-1
Fishing Hunting,-1
Fitness and EDM are my peace. .SC:fern_2013 &#x1f47b;,1
"Fizz-Fazz, Rip Shit, Tear Ass and The Whoosh!",-1
"Flexing my writing muscles, musing on HR and leadership/org development, and promoting humanity for all humans.",-1
"Florida State, Athletic Performance.  ""Be the Change."" Views are my own.",-1
flowers and colors bring me happieness,-1
"Fly fisher, mountain biker, trail runner, father, husband, brother, son, friend.",-1
"Fly fisher, traveler, born-Paris, France; raised-Marin Cty, CA.",-1
Fly fishing guides on the Lower Deschutes River and near Bend Oregon,-1
fly like a タケコプター,-1
"Focus on the good shit, fuck all the bullshit &#x1f595;&#x1f3fc;",-1
follow for daily updates of my cat,-1
Follow me for top tier edgy memes &#x1f4af;,-1
Follow me on Instagram:bae_sammie snapchat:bae_sammie~swim for life/current🏊🏻~C.M.S!,-1
Follow me on musicly trying to get followers and likes,-1
follow me on SoundCloud: https://soundcloud.com/user-235927986-906879653,-1
Follow me!! Instagram: ryancaginia12 SnapChat: rycag12,-1
"Follow Mug Revolution on Twitter! The maker of fine handmade coffee mugs updates regularly at his other account, https://twitter.com/mugmkr",9
Follow my journey of becoming a public figure,-1
follow my new account @roach_tayva,-1
"Follower of Christ, generally prefer my Scripture taken literally, cheese judge extrordinare, master cheesecake maker, & fondness for all things British.",7
"Follower of Christ, generally prefer my Scripture taken literally, cheese judge extrordinare, master cheesecake maker, & fondness for all things British.",7
"Follower of Jesus, husband, father, grandfather, writer.  Read my blog at http://www.jimastephens.com",7
Following my daydreams,-1
Following Seahawks Wrestling and MMA are only reason for this account.,-1
Food & Beverage Executive,-1
Food & Drink Golf Entertainment College Football DIY & Home Car Culture Humanitarian Industry News NFL NBA Sports Travel Technology & Science Nonprofits,-1
"Food and Craft Beer Enthusiast. I Love Nature, Sports, Fitness, Politics.",-1
"Food Network enthusiast, Former child, Professional Drug Expert",-1
"Food Service Design and Supply Professional with a liking for all things food, water and snow sports with emphasis on the Hydrofoil! GO DUCKS!",-1
FoodFu Cooking & Drinking Game Apps: cooking & cocktail competitions in real life. Like Top Chef or Chopped at home. The only games you play in the kitchen!,-1
For all of your real estate and relocation needs in Central Oregon contact Karen Malanga at Hasson Company Realtors.,10
For booking email: matt.keiper@dynamictalentint.com,-1
for each day to have a new & different sun.,-1
for me to use my imaGINAtion 😈😇😌💖🤑🧚,-1
"For over 60 years, Reid and Wright, Inc. has been providing customers with the highest quality lumber, building materials, innovative specialty products offered",-1
For Your Pet Sitting Needs in Bend follow  @TENDmyPet.,-1
Forever Clydesdale is a Cycling Blog.,6
"forever, your loverboy",-1
Forgiven. Fiercely in love with Kelsi.  Father of two that are the best ever.,7
"Former #wilderness & residential #therapist offering Parent, Family + Young Adult #coaching via phone/video for distance support + locally in LA & SF Bay-area.",1
Former broadcast journalist. Proud wife of professional ultramarathoner @Sharmanian.,-1
"Former CMO at Marketo. Former CEO, Crowd Factory and CMO of Lithium. Love the power of technology to transform our lives. Father, husband, skier, and traveler.",8
Former Control Systems engineer who worked to save the world from the evils of nuclear power from the inside. Also wannabe geologist and golfer.,-1
"Former Customer  Service Representative,  and a degree holder in Bachelor of Elementary Education,RN, Animal rights ,Liberal, multilingual, Asian American",-1
"Former Eng. Manager @ Cloudflare Workers, Cofounder / CEO @ http://Tend.ai, The Social Business (acquired 2014)",8
Former film maker. Enjoy good quality pictures and facts.,3
"Former Head of Social Impact @Twitter. Urban earth-muffin. One foot in the city, one in the Sierra. Hubby to @robertjthornton 🌈. Board Member @TPL_Org.",8
"Former Marine turned Software Engineer, Product Leader, Executive, and Author | https://sendfox.com/matthewoverlund",-1
"Former Marine, Outdoorsman, OREGON DUCKS fan, and I work in Metals Recycling.",-1
"Former media marketing dir; writer; creator, (Fighting) Irish Sports Report; reality-centered Notre Dame fan; classic film enthusiast; follow politics, science.",-1
Former PM News Producer for @KTVZ,-1
"Former reporter for @thebulletin turned mouthy private citizen. Backyard farmer, cat wrangler, ski instructor, cyclepub pilot and who knows what else.",-1
Former Republican candidate for Governor of Oregon | businessman | author | grandfather | proud to support @POTUS @RealDonaldTrump #MAGA #MOGA #orpol #orcot,-1
"Former SF-er in Bend, OR. Co-founder and CD at Studio Rover",-1
Former Sports Anchor | 2010 Oregon Sportscaster of the Year | Professor of Journalism/Psychology |,-1
"Former Texan, PNW transplant, dog lover. “Be worthy of people’s trust”",-1
Formerly Alamosa Wine Cellars #coolwines from warm climate grapes. enjoying retirement lifestyle in the #Texas Hill Country. #Livin’laVidaWimberley,11
Forming lifelong relationships with our clients because we’re focused on YOU. Contact us today and start your journey with the real state advisors for life.,-1
"Fort Bend - Sugar Land, Richmond, Missouri City, Katy, Houston, Pearland REALTOR",10
Fort Bend County Republican Party,-1
fortune favors the brave,-1
"Founded in 1978, Bradley Company is a full-service provider of commercial real estate, property management, and incentives services.",10
Founder,-1
Founder @SocialOrganica - #Entrepreneur & #DigitalMarketer,-1
"Founder @SudaraGoods, devoted wife and proud mama. Lover of Jesus, justice, food & wine. Abolitionist and nerd at heart. Latest interest: Kombucha brewing",-1
"Founder / CTO of Prado and serial software entrepreneur. Automotive, basketball, technology, and sobriety enthusiast.",-1
Founder & CEO | @LoraDiCarlo_hq · I say vagina on stage a lot · Some barriers just need breaking 🤷🏽‍♀️ (she/her|they\them),-1
FOUNDer #foundnaturalgoods #shoejacq #thefutureisfound,-1
Founder + CEO @craftcms • he/him • 🐘 https://mastodon.social/@brandonkelly,-1
Founder | Fractional VP of Sales | Angel investor,8
Founder and CEO of Moeller Life & Business Coaching - @moellerlbc,-1
Founder and Creative Director of @brass_hands and @pitch_works,8
Founder and Director of Sparrow Clubs USA,8
founder at CodePen.io... calls chown on all the things.,8
"Founder at ZeroTransform. VR Game Developer, chiptune enthusiast, voider of warranties.",-1
"Founder life @purepolishprod / Dad life #InBend / 7 Startups Later… // Shoes, Bikes, Chess, Poker, Health, Psychology",-1
"Founder of @SifData, @kicksaw - #RLTW",-1
"Founder of Freedom Interventions, helping addicted families find hope. Co-host of “The Party Wreckers” podcast.",-1
"Founder of KIDS in the GAME, a non-profit that gets & keeps kids in sports; Love the outdoors: trail runner, mtn biker, skier, kiteboarder!",6
"Founder of Mazama Bar - delicious nutrition for a healthy, active, adventurous lifestyle. Living it up #inbend.",-1
Founder of personal empowerment brand Fierce Forward ⚡️Life Coach ⚡️Writer ⚡️Change Maker,-1
Founder of personal empowerment brand Fierce Forward ⚡️Life Coach ⚡️Writer ⚡️Change Maker,-1
"founder, http://wiwow.org",-1
"Founder, Mom, Creative Consultant, Brand Strategist, Marketing & Social Media Maven, Shoe Connoisseur and avid Outdoorsman... Whew!",-1
Founder: @Recon_Partners,-1
Founder/CEO Seven Star Tutoring. (541) 241-6297.                      Personalized Tutoring for Students #inBend and #Corvallis.,-1
"Founder/CIO North Forty Two, follow our corporate account at @NorthFortyTwo",8
Founder/Director- Latin Dance Bend & AAGmedia.,-1
Four discrete seasons here in Central Oregon make weather junkie a chill habit,11
"Foxtail Bakeshop, LLC is a Boutique cake studio in Bend, Oregon specializing in creating Wedding Cakes and Desserts with an artistic unique flair.",11
Foxtrot Alpha Foxtrot Oscar,-1
Francesco Aiello,-1
Franklin Brothers is the culmination of lifetimes invested in the Construction and Real Estate business in Central Oregon and beyond.,10
FRC Baseball,-1
"Free Cannabis Edibles, flowers and Concentrates With Membership! 21+",-1
Freedom Keeper #exvaxxer,-1
"Freelance 3d design, modeling, texturing, Illustration, animation. #cinema4d #redshift",-1
Freelance Audio Engineer,-1
"Freelance Graphic & Web Designer. Good bike ride/run, good beer, good friends. Life is good.",-1
"Freelance Graphic Artist, Stargazer, Conservative🇺🇸2nd Amendment Gun Owner Patriot🇺🇸 #CHRISTIAN #MAGA #TRUMP2024🇺🇸Hate Voter Fraud😡",-1
"Freelance marketing copywriter based in Bend, OR",-1
"Freelance Motion Designer, Editor, VFX and other things. other things I like; My Wife, my dogs, music... lots of music, a few other people.",-1
Freelance photographer and videographer. Contributor to The Northwest Journal. https://www.thenorthwestjournal.com/,3
"Freelance Photographer in Bend, OR | @WWU alum | AZ born & raised | I like hoppy beer and long runs | Former @dailyastorian, @azcentral and @flintjournal",-1
Freelance writer | He was a man who never forgot his need for a Savior | I also mail out a free print newsletter — http://bit.ly/3UQl63A,2
Freelancer,-1
"Fresh Deals, All Day on your favorite snowboard and lifestyle brands! Save 50 - 90% on Everything from the 'Slash!",6
"Fresh food fanatic, bike there, semi pro veggie grower, keep it simple, if we have not traveled there we will, outside is free, fresh, pure, simple.",-1
Fresh local grown ingredients we make everything by hand,-1
Freshmen at OSU-Cascades! Singer/songwriter! I'm super stoked about life!!!,-1
frickin eh,-1
"Friend of the earth and of people and animals in need, manager of Smith Rock Farm Redmond, OR.",-1
"Frisbitarian,Patriot,Skateboarder,Gamer,#Bitcoin,Shadowy Super Coder, Gen X, Bad at speling and grammer",-1
From Data to Decision,-1
"From GF to Paleo & all points in-between!  Tammy is the National Best Selling author of Make Ahead Paleo, Paleo Indulgences & The Healthy Gluten Free Life.",-1
From intricate guitar playing to shredding solos. From brutal breakdowns to catchy melodies.This is metal like you've never heard it. Follow to keep up! ;),3
"From Kentucky, landed in Oregon.",11
from salad man to salad manager,-1
From Wyoming to Oregon just living out my days on a mountain and there is nothing else I could need!,11
"Front-End Developer @Zipline_Inc. Prev. @eightshapes. Design Systems, Sass/CSS, HTML, JS. I created Box Model Visualizer, http://box-model-visualizer.netlify.app.",-1
Frozen Pond Pro Goaltending Development • Moorhead High Alumni • Pittsburgh Penguins/Minnesota hockey fan Insta:@frozenpondpro Live. Eat. Breathe. Hockey.,-1
fuck 12,4
fuck squirrels,-1
fuck your funny games,-1
fucked up,13
"fucks for money, shows hole for free. Sexworker.",-1
FUCKYOUBADGERPUSSY,-1
"Full Blown Party Assassin: Songwriter, Vocals for The Radiopaque + Infiltrate Panda - Contributing Author to the book Panda Bears: Album, Book releasing soon",3
"Full Service Photographer & Producer. I have lots to share & discover. Experienced in Fashion, Models, Weddings, Families, Products and more. I LOVE what I do.",-1
"Full service PLUMBING & drain cleaning company. Open 24/7 and never an overtime charge on nights, weekends, or holidays! =)",-1
Full service Real Estate and Vacation Rental provider for Bend and Central Oregon,10
Full time IKEA furniture assembly extraordinaire. Part time leader of the anti parking services resistance. Small biology person.,5
"Full time real estate broker. Mother and mountain lover with a passion for skiing, travelling, education, family and friends!",-1
"Full time traveler.  Lover of the great outdoors. Hiker, outdoors girl.  Trekking my way across the USA. #hiker #backpacker #outdoorsgirl #boondocking",6
"Full 🥞 developer , 🐕 lover , pumpkin 🥧 enthusiast, ❤️ Craft CMS && Svelte && Tailwind CSS, based",-1
"Full-Time Dad, Part-Time Coder, Veteran, Gamer, DM/Keeper & Science Fiction fan. Madly in love with @thompcar & teaching the force to my kids. Pronouns: he/him",-1
"Full-time indie fantasy/scifi author who loves hiking, tennis, and vizslas. Download Star Nomad for free at your favorite store: http://books2read.com/u/3nOYw9.",2
"full-time parent, full-time machinist, full-time college student, and starting a business...whoa...",-1
Fun,-1
Fun adventures,-1
Fun loving and always in pursuit of enjoying life to it's fullest.,-1
"Fun Loving Pennsylvania Native, Slippery Rock Alumni, Oregon Resident, Athlete, Cat Lover, Wife-to-Be",11
Functional junkie. Advocate for Health. Friend of failure. #fxmed #FxFitness,-1
Functional Medicine Practitioner/Owner at Functional Fork Nutrition,1
Fund for Oregon Rural Journalism executive director and The (Bend) Bulletin projects editor,-1
Funky vibes,-1
"Furry, Weeboo, Motorcycle enthusiast Twitch streamer and a bunch of other stupid stuff!Account with JUST my art go to @burningdonutart",-1
"Futbol fanatic, 🇭🇷🇭🇷Hrvatski Nogometni Savez, Manchester United Supporter, Zlatan is king!",-1
futures trading idea source delivered via a private twitter feed: @misstrademember,9
Gaia Growth Capital offers a number of specialized commercial financing products that you will not find elsewhere.,8
Game Designer,-1
"Game designer, computer scientist student, idealist with more opinions than he deserves.",-1
"Game Designer, Game Programmer, Car Enthusiast.  I love Space, NASA is the best.My tweets express my own opinions",-1
game dev,-1
"Game Developer, Volleyball Player, graduate of @ChamplainCollege. All opinions are my own.",-1
Games,-1
Games Gaming,-1
Gaming Games,-1
Gaming Preview Site.,-1
Gary Lewis has been running rivers and walking deer trails for as far back as he can remember. Follow for updates on hunting and fishing the Northwest!,-1
"Geek, essayest, wannabe philosopher.",-1
Geeky dad and hubby. Website and web app development specialist with #craftcms. Living large #inbend. @swishdigitalco by day. @somethingdirty_ by night.,-1
"Geeky, nerdy, retired old  broad, retired Porsche racer, crafter, internet junkie,   -- loving life in Central Oregon!",-1
Gemini ♊️,-1
"Genealogy Coach with the soul of a detective, and a passion for research.",-1
Gentleman skier,-1
"Geo thingies @awscloud. Opinions and sensibilities my own. Previously @ourradiantearth, @stamen, @flickr, @fireeagle, @prx, elsewhere. @seth@hijacked.denv.org",9
Geospatial + Bike Freak,6
get after it,13
"Get local with REI #inBend!  We're here to help you get outside in and around Bend, OR.",-1
"Get your book written, edited, formatted, published and promoted. BraineeBook helps smart people get published FAST!",2
Gettin' it.,13
getting my first horse I hope in 2018,-1
"GFP Wild-firefighter, 18",-1
"Girl Friday is a professional, full service vacation rental cleaning company that offers cleaning services to vacation rental property owners and managers.",-1
"girl, barista, wife, and proud owner of a border collie",-1
"GIS Guru, Foodie &amp; Traveler",-1
give love we all need it &#x1f98b;,-1
Give thanks for the things you have and for the little things  people do for you ✨,-1
"GlamRiver Beauty & Lifestyle Blogger, Product Tester & Reviewer, Giveaways, Wife, Mom, Pet Lover & Lover of Food, Fitness & Health!",-1
Globetrotting travel and food writer-photographer. Constantly in search of my discomfort zone.,3
"GM Technology Design AssociatesFormer City Councilor of Bend, Oregon, Public Service",-1
"Go ahead, bake my day.",-1
Go and wake up your luck...,12
Go away.Rich Aunty. Ashawo of the book reading variety.,-1
Go Beavs!! and Cowboys!!,-1
go cougs | Zumiez | Aquarius |,4
"Go Ducks! Go Grizz! History mansplainer, Avid outdoorsmen, skier and obsessed with working on his garden and yard. Cascadian anti vatnik brigadier fella #NAFO",-1
Go Ducks!!! Go Blazers!!!,-1
go loko,-1
"Go outside, look at the stars, sweat, breathe, be nice, have good times, sleep well and wake at dawn with a winged heart & give thanks for another day",-1
goals in life1.get paid2.get laid3.gatorade,-1
"God and family, Vietnam veteran, patriot, Trump supporter all the way. Go mega. riding the Trump train.",-1
God andAA.,-1
god bless this hot mess,9
God fearing Single father of 8 beautiful children.,7
God first.,-1
"God is good 💕 Proud Liberal Dem, Wife, Mama of 3, Defender of Democracy, Lover of beaches, music, road trips, @Padres baseball #Resist #VoteBlue #BeKind",-1
God tells us that we are fearfully and wonderfully made.  Right now at this moment you are enough.,-1
"God, Country, Family, 40 years of reloading, Photography, fishing, bow hunting. Nascar.100% Military. I am a Patriot, I am a Christian. I support Trump.",-1
God. Family. Basketball.,-1
God. Family. Home. Learn. Create. Become.,12
God. Love. Family. Trance Music.,3
"God’s love is meteoric, His loyalty astronomic, His purpose titanic, His verdicts oceanic. Yet in His largeness nothing gets lost; not a man, not a mouse...",-1
"Gold Party Hosting. Grab my free guide that shows you how to profit hosting gold parties. How to earn $500 in 2 hours, http://bit.ly/9xBZcG",8
"Golden Dad, cyclist, boomerang maker, night-sky photographer, 3d printing enthusiast, 3x Open 💓 Surgery survivor and Senior Software Engineer.",6
